district,birth_cohort,exposed,school_intensity,baseline_dev,urban_share,years_schooling,ln_wage,treat_intensity
District001,1950,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,4.503445034140779,1.608170680033182,0.0
District001,1951,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.363913239631335,1.7598579617515118,0.0
District001,1952,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.86701168455409,2.4939917777299216,0.0
District001,1953,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.0099154454693355,2.091619934467094,0.0
District001,1954,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.895182916822916,1.9261931260738212,0.0
District001,1955,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,5.462478975910866,2.005248492946849,0.0
District001,1956,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.291090747616619,1.834156344356952,0.0
District001,1957,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.909682540037037,1.6965175171348537,0.0
District001,1958,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,5.619234347964041,2.0585223474132937,0.0
District001,1959,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.499214908251165,1.3807468269064047,0.0
District001,1960,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.472492726948773,2.1966879008410185,0.0
District001,1961,0,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.46059107003723,1.9310847975130183,0.0
District001,1962,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,8.193535725864699,2.3046753325580784,3.0171150649595835
District001,1963,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.48594524710642,1.6518773840694925,3.0171150649595835
District001,1964,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,6.789087750278609,2.9288864647129156,3.0171150649595835
District001,1965,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.584128605501703,2.0451598031626563,3.0171150649595835
District001,1966,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.088485114574726,1.8643072652336419,3.0171150649595835
District001,1967,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,9.048996132023658,1.9274485769774774,3.0171150649595835
District001,1968,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.497013618338456,2.172609977256896,3.0171150649595835
District001,1969,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,8.099865370617087,1.3053413073709335,3.0171150649595835
District001,1970,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,9.34850978194131,2.33921194875846,3.0171150649595835
District001,1971,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,8.453017802798927,1.9166786515416718,3.0171150649595835
District001,1972,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,8.572644881980757,2.1271676475892534,3.0171150649595835
District001,1973,1,3.0171150649595835,0.5670055288251902,0.5281086590198687,7.796103308299557,1.6804242491494297,3.0171150649595835
