iso3,country,region,year,poor,temp_c,precip_mm,log_gdppc,gdp_growth,temp_dev,precip_dev,temp_dev_poor
C001,Country 1,Asia,1960,0,18.728900825868255,679.9614125639521,9.051707649003314,0.025313107034839924,0.6974922160702803,-183.5860077356133,0.0
C001,Country 1,Asia,1961,0,18.77869918251303,953.6894690832115,9.065149612224856,0.01344196322154142,0.7472905727150554,90.14204878364615,0.0
C001,Country 1,Asia,1962,0,19.018917333481546,811.0588646127035,9.06621070483186,0.0010610926070054975,0.9875087236835718,-52.4885556868619,0.0
C001,Country 1,Asia,1963,0,17.97622262528463,701.3774364372149,9.068948925467152,0.0027382206352916244,-0.055185984513343556,-162.16998386235048,-0.0
C001,Country 1,Asia,1964,0,17.831952656630325,1138.4203580597443,9.086295756428889,0.01734683096173578,-0.19945595316765008,274.87293776017896,-0.0
C001,Country 1,Asia,1965,0,16.657404374041757,977.0515433031626,9.104364827400705,0.018069070971815124,-1.3740042357562174,113.50412300359721,-0.0
C001,Country 1,Asia,1966,0,17.815733414356615,647.9088883790834,9.1223217856305,0.01795695822979627,-0.21567519544136005,-215.63853192048202,-0.0
C001,Country 1,Asia,1967,0,17.90095396515433,933.3188887787396,9.150344526237282,0.028022740606781362,-0.13045464464364542,69.77146847917425,-0.0
C001,Country 1,Asia,1968,0,17.37446678527355,808.566400776926,9.178205296207686,0.027860769970403945,-0.6569418245244236,-54.98101952263937,-0.0
C001,Country 1,Asia,1969,0,17.903347280420324,909.0333340497403,9.200161000174665,0.021955703966978934,-0.12806132937765113,45.48591375017497,-0.0
C001,Country 1,Asia,1970,0,16.9869702889175,801.9230817480413,9.224122683990894,0.023961683816228773,-1.0444383208804737,-61.62433855152403,-0.0
C001,Country 1,Asia,1971,0,18.95142161615217,890.5693137967072,9.234376615261151,0.010253931270257588,0.9200130063541962,27.021893497141832,0.0
C001,Country 1,Asia,1972,0,17.13016285519893,778.2689924318943,9.252251561154312,0.01787494589315936,-0.9012457545990458,-85.2784278676711,-0.0
C001,Country 1,Asia,1973,0,18.44997641652444,1110.5496160097816,9.258333837406434,0.006082276252123483,0.41856780672646465,247.00219571021626,0.0
C001,Country 1,Asia,1974,0,16.678894845124972,693.2577183860973,9.299040059076608,0.0407062216701741,-1.3525137646730023,-170.2897019134681,-0.0
C001,Country 1,Asia,1976,0,19.736471696362067,607.9885159207678,9.305403840194623,0.004121590767641525,1.705063086564092,-255.5589043787976,0.0
C001,Country 1,Asia,1977,0,17.245003467755293,1537.6182156156353,9.346131923656284,0.040728083461660736,-0.7864051420426819,674.07079531607,-0.0
C001,Country 1,Asia,1978,0,18.08533607154872,878.2638301860525,9.372838728721494,0.026706805065210774,0.05392746175074592,14.7164098864871,0.0
C001,Country 1,Asia,1979,0,17.234282217569696,716.2503648305566,9.390122672331886,0.01728394361039303,-0.7971263922282787,-147.2970554690088,-0.0
C001,Country 1,Asia,1980,0,19.6323922312282,341.73285115928695,9.406247798668614,0.016125126336727923,1.600983621430224,-521.8145691402784,0.0
C001,Country 1,Asia,1981,0,17.468062759576302,728.5191370579792,9.420030183366743,0.01378238469812804,-0.5633458502216726,-135.02828324158622,-0.0
C001,Country 1,Asia,1983,0,18.36315474565929,963.4473470595237,9.433915224074203,0.008714738649841645,0.33174613586131585,99.89992675995836,0.0
C001,Country 1,Asia,1984,0,20.756287533377982,890.7640290056827,9.455727728958864,0.02181250488466018,2.7248789235800075,27.216608706117313,0.0
C001,Country 1,Asia,1985,0,18.461816378710836,707.5491384208672,9.463306653014223,0.007578924055358623,0.43040776891286114,-155.9982818786982,0.0
C001,Country 1,Asia,1986,0,18.842160379966312,910.7350745381021,9.482382705337898,0.019076052323674153,0.8107517701683378,47.187654238536766,0.0
